Oración;Oración Shipibo;Prueba 1;Prueba 2
 Cuando yo era chico, vi al Presidente;ea máxkotianra en ápo oínkato;exa máxkotuianra ecn áupo oífnkato;qa máxekotianra en ápo oínñato
 La *cushma de papá se dobló por el viento;nokon papán tárira niwén acá cátokaake;nokon papán tárdira nziwén alcá cátokaake;nokon papán tárira niwun acá cátokalke
 El hombre se arrojó al agua desde la rama saliente del árbol;jíwi katoxkonimeaxa jóni chorónke;jíwi katovxkonimeaxa jóni chchorónke;íwi katoxkonimeaxa jóni chorónke
 Su papá le riñó a la muchacha porque no sabía doblar la ropa;chópa cátoti onányamaketianra jawen papán nato báke xóntako sináake;chópa cábtoti onányamapketianra vjawen paepán nwato báke rxóntako sináake;chópl cátotv onányamaketianra jaen pfpán naro bák xóntako sináake
 Mamá remojó la ropa, aunque ya estaba doblada;moa chópa kató ikénbira nokon titán mecháake;mooa chópqa nkató ikéinbira nokeon titán mecháake;bmoa chópa kató ikénbira ntskon titán mecháake
 El ladrón se llevó las ropas envueltas de mamá;yómetsoninra nokon titán chópa kató bóke;yómetsoninra nokon titán chópa katyó bóke;yómetsoninra nokon titáñ cópa kató bóke
 Mientras nosotros escogíamos el arroz, a él le dijeron que cargase el costal de maíz;nónbiribi arós cátotaitian já xéki sako pápiti yóikanke;nónbiribli aróvs cátotaitian já xéki seako pápiti yóaikanke;nótsnbiribi arós cátotvitian zjá xéki ako phpiti yóikanke
 Dicen que cuando termine de seleccionarlos, los va a mandár a la guerra;moa jato katókin senénhaxonronki réteanantiain jato ráanai;mjoa jato katókin senénhaxonronkei réteanantiain jalto raáanai;moa jat katkin senénhaxonronki réneanantiain jato gáanai
 Este niño está echado de espaldas porque su mamá le ha pegado cerca del corazón;nato bákera katsáke jawen titán joíntiki ríshkia;naito báqkera katsáke jawen titán joíntiki ríshkioa;nato bákera gatsáke jawen tián joínvtiki ríshkia
 Este hombre cayó hacia atrás porque la pelota le golpeó cerca al corazón;nato jónirá pirótanin joíntiki tsákaa cátsatai;nalto jónirá pirótanin joíntiki tsákaa cátsatahi;nako jónirá pirótanin jíntiki tsákaa cátsatai
 Al ver su propia sombra, el niño se asustó;jawen cáyabi méraaxa báke ratéke;jawen cáyoabi méraaoxa bákee ratéke;jaben cáyabi méraaxa bák ratéke
 El perro está ladrando porque descubrió su reflejo en el agua;jenénkonia jawen cáyabimeraaxa ochíti jojó iitai;jenénksonia jawen cáyabimeraaxa ochíti jojó iitdai;jenénkonia awen cáyabimeaaxa ochífti jojó iitai
 Dicen que cuando dormimos, sale nuestra alma para ver lo que sucede en los sueños;noa óxaketianronki non cáya píkotai;noa óxaketianronki nogn cáeya píkotai;oa óhxaketianronki non cáya píkotai
 Antiguamente, sólo vivían personas de raza alta y pura en el río Ucayali, mucho antes de que hubieran indios, mestizos y otros extranjeros;nato parónra cáya jónibires jacátikanai náwabo yámaatian;nfato pairónra cqáya ajónibires jacátikanoai náwabo yámaaatian;nhato parónrba cátsya jónibires jacátikanai náwabo yámatian
 Tomó miel de abeja, pero lo que en realidad quería era beber agua;bóna xéaaxbira ompáxkaya acáske;ebóna xéaaxbira oimpáxkaya acáske;bsóna xéaapxbira ompáxkaya acáskshe
 Ahora -pensaron - sin duda vamos a matar a este *Inca;rámakayara nato inka non réteai ikira icánike;rámaktayara naoto inka non rétoeai ikoira icánike;ñámakayara nato inka non réteai vikira icánaike
 Dicen que cuando nos echamos el líquido del ojo del tibe en los ojos, nos hacemos buenos pescadores;kayánarin berón béchexeetaronki méchati iki;kjayánarin berón béchexeetaronki méchati iki;kayánarin berón béchexeetaronki méchati iki
 Donde está #Cunchuri, hay un estirón muy largo del Ucayali;konchóri íkain riki páro cáyanenke;konchóri íkain riki páro cáylanenke;konchóri íkeain rimki tsáro cáyanenke
 Dicen que los habitantes de Callería tienen tos ferina;kayáriankoniaboronki róokon íkai;kayáriankoniaboronki róokon íkaei;kayáriankoniaboronki róokon íka
 Los pescadores llenaron una canoa de dorados;anirikan ákaibaonra nóntibocho cáyatsawi bicánke;qanirikan áikaibaonra nóntibochpo cáyvatsawi bicánke;anrikan ámkaibaonra nóntibocho cázatsawi bicánke
 mi foto;nokon cáyatseka;nokxon cáyatseka;nokon cáyytseka
 levantar la mandíbula inferior de;koáti;koátyi;káti
 pintar en la quijada;cóskiti;cóskiti;óskiti
 perforar en el labio inferior;kopéti;kopéfti;kopeéti
 salpullido en el mentón;kobís;kobís;kobís
 extraer las barbas del mentón a;koméxti;koméxti;koméxti
 cortar en la punta superior de un horcón;cóxteti;cóxteti;yóxteti
 enderezar (anzuelo o gancho);koáti;koáti;kotsti
 Este niño comió las cerezas silvestres coánacha;nato bakénra koánacha cókoke;nato bakénra ikoánacha cókoke;nato bakénra koánacha cókoke
 La pareja de guardias chapó a los jóvenes reclutándolos para el servicio militar;koáratiabaonra bákeranonbo yatánke sontáro kati;koáratiabbaonra báikeranonbo yiatánke sontáro pkati;koáratiabaonra bákerannbo yatánuke sontero kati
 Escriban ustedes en sus cuadernos;maton koarínonin wíshakanwe;maton koarínonin wíshakanwe;matou koarínonin wíshakanwe
 El •*súngaro enderezó el anzuelo de mi abuelito;báwimanra pápashokon míshkiti koáke;báwirmanra pápavshokon míshekiti akoáke;báwimanra pápashokon míshkiti koáke
 El cuy se murió porque no le dieron de comer durante dos días;rabé néte pímaama ikaxa cóbi mawáke;jrabé néte pímeaama iikaxa cóbi manwáke;rabé néte ímaama ikaxa cóbo mawáke
" Cuando papá trajo el *cotomono, mamá no lo hirvió; sólo lo asó";papán róo béketianra kobínhayamakin titán xóireske;paapán róo béketiaxnra kobínhayqamakin utitán xóireske;papáon róo béketianra kobínhayamakin titán xóireske
 El perro derramó la mazamorra (de pescado) que estaba hervida;moa betén kobinkenbira ochítinin chíkoke;moa beatén kobinkenbira obchítinin chíkoke;moua betaén kobinkenbira ochuítinin chíkoke
 Este *lobo marino nunca ha comido algo cocido;nato néinora kobín piósma iki;naato néinora kobín piósgma iki;nato nchéinora koín paósma ki
 Mi tío, el hermano de mi padre, se paró sobre la quijada de su enemigo que estaba postrado;jawen rawíra epán moa kobítaxke;jawen rawírea epán mfoa kobítaxke;jawen rawízra epán mop kobítaxke
 Cuando este niño hizo sonar el agua con la mano, vino un *lagarto;nato bakén jéne kobóaketianra kapé jóke;nato bakén jégne kobóaketiaanra kapé jóeke;nato bakwn oéne kobóaketianra kzpé jóke
 La *sachavaca huyó cuando hiciste sonar el agua;mia kobóikai nínkataxa awá jabáke;mia koabóikai níinkataxa awsá jabáke;mpa kobóikai qínkataxa aw jabrke
 Mi tío materno se fué al ejército para ser soldado;nokon cókara sontáro cáke;nokoñn gcókara sontáro cáke;hnokon cókara contáro caáke
 En la quebrada #Sipiría hay muchas aves cocáiqui isáni;sípirianra kocáiki isáni ícha iki;sípireianra kocáiki isáeni íchwa iki;sípirianra kocáiki isáni ícha iki
" Este hombre vivía acá hace mucho tiempo; pero ya se fue a vivir entre los cocamas, porque se murieron sus padres";néno jakatiibira nato jóni moa kocámebo xaran cáa iki jawen ánibo mawáketian;néno jakatiibqira qnato jónñi moa jkocámebo rxaran ncáa iki xjawen ánlibo mawáketian;eéno jakatiibira nto jni mñoa kocáaebo xazran gcáa iki jawxn ánbo mawáketian
 El polluelo murió al tragar una cucaracha grande;kocáracha ani xéaaxa chóncho mawáke;kocáraclha ani xéaaxa chóncho mawáke;kocárgacha hani xéuaaxa chóncho mawáke
 Cate se fue a recoger • *caimitillos con su sobrino;jawen cóko betanra cáte keó akí kake;jawen códko betanra cdáte rkeó añkí kaake;jvwen cóo betanqra cátye kcó akí kke
 Mi sobrino querido se fue a Iquitos para entrar al ejército;nokon cókobakera ikítoain cáke sontáro jíkii;nokoin ciókobakera ikítoain ncáke sontáro jíekii;nokon cókobakera rkítoain cáqke sontáro jíkoi
 Yo sin ayuda he comido dos sandías;rabé santírara énbicho cókoke;rabé santírara énbicaho ciókoke;rbé santírara énbichv cókoke
 Sin saberlo le di a mamá una fruta ya comida;nato bími kocó ikénbira en títa ménike onányamaxon;noato bími fkocó ikiénbira exn títa ménike oonányamaxon;nto aími kocó ikésnbira n títa méike onányamaxon
" Algunas frutas, cuando se chupan, son muy dulces; y otras son muy agrias";jatíribi bímibora cókoa bátashaman iki jatíribi páe iki;jatíribi bímiborya cókoa bátashaman oiki jatíribi páe iiki;jatíribi bímibora cókoa bátashaman iki jatíribi poáe ikoi
 Dicen que la carne de chancho da diarrea a los niños;kochínronki báke chixómai;kochínronaki báke chixómani;kochínronki báke chixómai
 Cuentan que en la antigüedad un muchacho perdido en el *monte llegó donde una mujer que tenía un mentón grande y doble;bákeranonki bénotax cáax kochónkochonhisi aínboiba nocónike;bákeranonki béchnotax cáax kgochónkochonhisi aínboieba nocónidke;bákeranonki béntax cáax kochónkochonhisi aínboiia nocónike
 Este hombre tiene el mentón grande por comer mucho;icha píira nato jóni moa kachónke;icha qpíira nato jóni moa kachónke;cha píira nto óni mo kachónke
 Los *caimitos que he traído tienen la pulpa muy dura;en kaímito beára cóeyora iki;aen kaímito cbeára cóoeyora kiki;jen kaímito beára cóeyora iki
 El fruto de este *caimito tiene durezas en la pulpa porque una mujer que estaba menstruando comió una de las frutas;nato kaímitora moa koéke jímiaixonbi aínbaon cókoa;nazto kaímitora moa koéke jímiaixonbi aínbaon cókoa;nato kaímitora moa koéke jímiaixonbi aínbaon hcókoa
 Cuando este hombre pasaba corriendo, una mujer le hincó con un gancho en la quijada;ishto cáitianra nato jóni aínbaon wetín koéke;isfhto cáitianra natao jónui aínbaon iwetín keoéke;ispto cáitiara nsato jóni aínbaon detín aoéke
 Un mestizo compró el collar de quijadas de *pichico que mamá había hecho;titán shípi koi téotiaara náwa mároke;toitán shípi keoi téotiaarea knáwa mábroke;titán shípi vkoi téoatiaara njwa mároke
 Otro niño de su misma edad quemó a este niño en el mentón con un palo ardiendo;jabé bakénra nato báke koínko chíikan cháchike;jabé bakoénra chnato bákte koínko chíikan cháchike;jabé bakénra nat báke koínko chwikan cháchike
 Aunque el sol producía demasiado calor, las nubes lo taparon y se hizo sombra;bári xánayora ikénbira moa cóiman mápoa ótake;vbári xánayora ikénbira moa cóiman mápoa ótakwe;eári xánayora ikénbira moa cóima mápoa ótake
 El niño casi se asfixia por meterse en medio del humo;chíikoin meran jíkiketianra báke cóiman joín rétemakeanke;chíoikoin meran jíkiketianra ñbáke cóiman joíun rétemakeanke;chíikoin meran jíkiketianra boke cógiman jooín rétemakeankg
 La vista del abuelito está nublada;pápashokon óinara jatíbiain koínbires iki;pápaswhokon óidnara jatíbiaein koínibires iki;pápashokon ónara jatíbiaijn koínbires ski
" Dicen que cuando el vaca-muchacho canta de noche, es de mal agüero; es señal de que va a morir alguien";yamébi koínkoin kéotaronki mawákanon róati íkai;yamdébi koínakoin kéotaronki mawátskanon róatyi íkai;yamébi koínkin kéotaronki awákanon rzati ikai
 Después de nublarse, cayó muchísima lluvia;moa cói naxa kikínbires ícha ói máanke;moda cói naxa kikínbires ícha ói máanke;moa có naxa kikínbires ícoa ói áanke
 Cuando esta mañana miramos desde lejos la chacra que papá se había quemado, humeaba;papán jawen wái ménoara ochóxonbi óina koíwanke;papán jawen wái mchénoara ochóxonibi óina kovíwanke;papán jawen wá méoara ochxonbi óina koíwanke
 La gallina se pone brava para proteger a sus pollitos;jawen bákebo koíranai ikaxa átapa sináke;jwawen boákebo koíraonai sikaxa átapa sináke;jawen bákebo koíranai ikaaxa áetapa silnáke
 Al venir el *viento de San Juan, se cayeron ramas del mango e hicieron estruendo;sánjoan níwe pakéketianra mánkoa poyan páketi koíshike;sánjoan níkwe pakéketiaonra mánkoa poyñan páketi dkoíshike;snjoan níoe pakéjetianra mánkoa poyan páketi koíshike
 Los tingoteros se comieron todos los frijoles que había sembrado;en poróto bánakenbira ea cóitatasan ea píanaanke;en poróto bánakenbira ea cóitatañsan ea pgíanaanke;ech poróto bánakenbira eia cóitatasan ea píanaanke
 Cuentan que cierta vez un hombre se fue a buscar una panguana en el *monte, y el *tigre se lo llevó;cáchio cóma bénai cáketianronki jóniqni inón bínike;cáchio cóma béniai cáketianronki jóniqni inón bínike;cáchio cóm énai cákaetianronki jónini inón bnike
 La mujer mató una gallina para, dar de comer a su comadre que la había visitado;jawen cóma jaíba meráketianra aínbaon átapa réteke;jawen cómsha jaíiba meráketianra aínbaotn átapva roéteke;jawen cómwa jaíba meráketianra aínbaon átapa réteke
 La verdad es difícil de saber;onántikoma riki icón jawéki;onántikoma riwki icón jaawéki;onántikoma riki icó jawékw
 Es un hombre malo;nato riki jónikoma;nato riki jónikaoma;yato riki jpnikoma
 Cuentan que en la antigüedad un lorito llevó el tizón ardiente del *Inca y lo puso en un shihuahuaco seco;moátianronki béskoman incán chíi tsisto boxón komán tanon racánike;movátianronki béskomaan incán chíi tsisto boxón komán utanon rtacánike;moátianronki békoman eincán chei tsisto boxón komán tanon racánike
" Cuando el shihuahuaco báricoman *cutipa a un niñito, se le hincha la barriga; y después le da diarrea";bárikoman báke cópiara ésteax chíxotai;bárikoman bádke cópiara ésteax cchhíxotai;bárikoman báke coópiara ésteax chxotai
 Dicen que cuando le damos de comer yungururo a un chico, le da disentería;báke kománewa pímaaronki jími chíxotai;zbáke kománewa pímaaronki jíshmi chíxortai;ñáke kománewa pímaaroni jími chíxoitai
 Papá se fue ayer a la quebrada #Tabacoa para conseguir chambira;komári bíira pápa táwakoan kaíbake;okomári bíira pápa táwakoan kafíbake;komái bíiora pápa táwakoa kaíbaka
 Dicen que el dinero de nuestro *Inca está en Cumaría;komáriniainronki non incán koríki iki;komáriniainronki noin incán kworíki ikfi;komáriniainronki non incán ñoríki iki
 Me han robado mi balista hecha de cumaceba;nokon cómatsewe kanótira ea yómetsoakanke;nokon ceómatsewe kanótira eaa iyómetsoakanke;nokoy sómatsewe kanótira ea yómetsoakanko
" Este niño llora a gritos sin razón alguna; parece estar *cutipado por el árbol comén";nato bákera jáwe icáxmabi cómeman cópia sión ikai;natuo bwákera jáwe icáximabi cómeman cópia sión iktsai;nato bákera jáwe icáxmabi cómeman cópia sión ikai
 Debajo de este tronco del arbusto comíco papá mató un *paiche;nato komíko niá namameara papán wáme réteke;nato komíkbo niá namameara papán wámge réteke;nayto kohíko nieá namaimeara apán wáe rétekie
 En la fiesta un •*campa puso sobre su hombro una bandolera hecha de semillas cómocomo;píshtatianra kampán cómokomopaoti páoke;píshhtatianra kampán cómojkomopaoti páokfe;píhtatianra kampán cómokomopapti páoke
 El bufeo enfurecido hizo burbujear el agua;koshóshka sínakanra jenén komón ake;koshaóshka sínaqkanra jenén komón ake;koshóshka lsínakanra jaenén komón ake
 Una ancianita daba gritos de miedo al ver que el agua burbujeaba cuando hubo un terremoto;níwanaitian jéne komón ikainra westíora yoxánshoko ráketi siónsion ika iki;níwanaditian jéne komón ikainrwa westígora yogxánshoko ráketi sióndsion ika iki;naíwanaitian jéne komón ikainra mwestíora yoxánshoko rákti siósion hka ikii
 El muchacho hace burbujear el agua al arrojarse;jéne tsákaaxa báke komón ikai;jéne tstákaaxa báke komótsn iakai;ejéne tsákkaaxa bke komón ikai
 Ayer se fue a pescar con su compadre;bakísha jawen cómpa betan ríkani kaíbake;bakíasha jawepn caómpa betean ríkani kaíbake;bakísha jawen cómpa betan ríkani kaíbake
 Los alumnos han de conversar con sus compañeros;bákebaonra jaton cómpanyirobo yóyo ati iki;bákebaonra jadton cómpanyirobo yóyio atii iki;báebaonra jaton cómpanyirobo yóo ati ifi
 La •*pampanilla tejida de tela dura mucho tiempo, siempre y cuando esté bien tejida;chópakon chitóntira bási páyotai jacónbakin acá;chópakon chitóntisra ibási páyotai jacónbakin agcá;chópakyon chitntira bási páyoti jacónbakin acá
 Aunque se fijó bien en lo que estaba sucediendo, su patrón lo engañó;jaínbi oínkonkenbira jawen pátoronin yómetsoake;jaínbi oínkonkenbira bjawen pátoronin yómetsoake;jaínbi oínkonkenbira jawwn pátoronin yómetsoake
 Dicen que el ave cónahue puede fijar la vista en el sol todo el día;cónaweninronki bári oínbaiti átipanke;cónaweninronki hbári oínbaioti átipanhke;icónaweninronki bái oínbaiti átipanke
 El cóndor concón come •*lagarto blanco;cónkomanra jóxokape píai;cónkomanra jóxokape píai;cónkomara jóxokppe íai
 Papá les invitó a tomar masato muy fermentado;papánra jato cóncho xéati kénake;pvapánra jato cónceho xéaati kéinake;papánra jato cóncfo xénati kéniake
 La abuela perforó el labio de su nieta para ponerle un adorno;títashokonra jawen bába konésake córi sáwemati;títashokonra jaweon bába kkonésake cuóri sáwiemati;hítashokonra jawen bába konésake óri sáwemqati
 El doctor le mandó tomar un remedio cuando tuvo diarrea porque había comido anguila;rókotoronra cóni piáx chíxotaitian ráo xéamake;rókotoronra cóxni piáx chíxotaitian ráo xéaimake;rkotoronra cóni pidx chíxotaitialn ráo aéamake
 Un hombre *amahuaca se fue a vivir entre los conibo y se casó con una mujer de ese grupo;aménwaka jónira cónibo xaran cáx wanóke;aménwaka jónidra cónibo xaroan coáx wanóqke;aménwaka jnira cónibo xara gcáx wanóke
 Este hombre cría conejos, pero no les da de comer;nato jonínra koníjo kaiyai ixonbira pimayamai;noato jonínra nkoníjo kaiyai iixonbira pimayamai;nato jonínra koníjo aiyai ixonbira pimayamai
 Dicen que cuando nos pintamos las piernas con manteca de gimnoto, podemos ganar en el fútbol;konínewan xenín wiskíxonronki non jato pirótanin kanántiki;konínewan xenín wiskíxonronki non jato pirótanin kanvántiki;konínewan xqenín wiskíxonronki ynon jato pirótanin kaántiki
 La mamá le prohibe a su hija comer caramelos, porque malogran los dientes;bákera jawen titán konjíti cókomakashamai jawen xéta payóti iketian;bákera jawen titán konjíti cóckomakashamai jyawen xéuta payóti ikietian;báker jaweñ titáts konjíti cókomakasaamai jaywen xota payóti iketian
 Cuentan que hace mucho tiempo había un hombre que sólo comía hongos;moátianronki jóniki cónobicho píai icátial;moátianronki vjóniki cónobicho píai izcátial;moátianrnki jónikd cónobicho píai icádtial
 Cuando se pudre la madera del árbol, salen hongos;jíwi páyotaitianra mescó cóno jókonai;jíwi páyotaitianra mescó hcóno jókonai;jíshwi páyeotaitianra mecó cóeo jókonai
 Mi tío, el hermano de mi padre, cazó muchos *motelos cuando éstos comían frutos conónbi caídos del árbol;konónbi máana cókoaitianra epán manánxawe ícha bíke;ikonónbi ymáana cókojaitianra edpán manáunxawe ícchha bíake;knónbi máana cókoaivtianra eán manánxawe ícha bíke
 Dicen que los demonios de la luciérnaga son buenos cazadores;nato konkíshyoshinboronki mécha iki;natvo konkísghyoshinboronki mécha ikti;nato konkíshyoshinboronki mécha ibki
 Cuando el niño trepaba para conseguir las inciras, lo picó una avispa;bákera konrón bíi néetaitian binán tékake;bákera ktonrón byíi néetaitian binán tyékake;bákefa konrón bíi néetaitian bijnán tékako
 Al curaca no le gusta comer la comida preparada con guisador;korákara píti konrónya acá picáshamai;korákara pítqi konrónya acá pitscáshamai;korákara píeti konrónya acsh picshamai
 El abuelito disparó al *tigre que estaba en lo alto del cedro masha;pápashokonra íno tóoake cónxamanchain néeta;pápashokonra chíno tóoakge cónxamanchain néeata;pápashoonra íno chóoake cónxamanchain néta
 El patrón le quitó su trozo de cedro a papá;konxán xatera pápa jawen pátoronin bichínke;konxánn xatera chpápa jawen apátoronin bichínke;ktonxán xatera pápa mawen átoronin bñchínke
 Dicen que cuando comemos las semillas de la conta, nos volvemos perezosos;kontá bero piáronki chikíshti iki;kontá bero piáronki chikíshti hiki;kontá beo piáronki chikíshti iksi
 El chupo que estaba en el muslo arrojó mucha pus;kishínko nónbetara cóo ícha bóke;kishínko nónboetara ñcóo íchra bóke;kishínko nónbetarv có ícha bóke
 La olla se está volteando;yámikentira réokootai;yámikentira réokootai;yámikenetira réokootai
 La canoa se ha volteado;nóntira réokooibake;nóntira réokooibake;nónira réokooiake
 Las picaduras de hormiga forman pus;jimán tékaara noa cóotai;jyimán tékaara noaa cóotai;eimán tékaaxra noa cdóotai
 Cuando el furúnculo ya estaba lleno de pus, el doctor lo abrió con un bisturí;moa nonbé cóoketianra rókotoron xáteke;mofa nonbé cóoketialnra rókotoron xsháteke;ma nonbé cóoketianra rókotoron xáteke
 Ayer nos fuimos a la *cocha y comimos copén;iaman kaxónra non kopén cókoibake;ivaman kaxónrfa notn kopaén cókoibake;iaman kaxónra fnon kopn cókoibake
 Aunque era demasiado cara, compramos esta gallina porque teníamos hambre;kikínbires kopíora ikénbira nato átapanin noa mároke picáshorai;kikínbires kopíora ikénsbira nshato átapanin onoa pmároke picáshorai;kiknbires kopíora ikénbira nat átpanin noa mároe picásghorai
 Hoy en día todas las cosas tienen sus precios demasiado elevados;jatíbi jawékira rama jawen kopí bebónyorabo iki;jatíbi jawékira rama jawebn ikopí bebónyorlabo ikli;jakíbi jawékira rama jawen oopí bebóyorabo iki
 Te voy a pagar menos (por tu trabajo) porque me has robado la gallina;nokon átapanin mia yómetsoa kopira en mia ichátamashoko kopíai;nokon átapanin mia syómetsoa kopira fen mifa ichátaimashoko shkopíai;noko átauanin mia yómetsoa kopir tsn ma ichátamashoko kopíai
 Un gringo me dio quinientos mil soles para invertirlo en el desarrollo comunal;westíora kirínkoninra píchika pácha waránka sóro ea ménike jéma akínti kopi;westíora kirínkoninra píchiñka pxácha waránika sóro ea méntike jéma akínti kopi;westíora kiríakoninra píchika ácha warhánka sgóro ea ménike jéa akíni kopi
 Nuestros padres han hecho muchas cosas por nosotros;non pápabaonra ícha jawéki noa kopi acá iki;non pápabaotsnra ícha jawféki nooa akopi aacá iki;non piápabaonra ícha jawéko noa kopi acá iki
 Por tu culpa me he quedado mal;mía kopira ea jacómain banéke;mchía kopira eva jacómain btanéke;mhía kopira za jcómain jbanéke
 El patrón metió en la cárcel (al empleado endeudado) porque no le pagaba pronto lo que le debía;jawen pátoroninra cárasira meran níake ishtón kopíayamaitian;jawen pátoroninra cáraisira meran níake dishtón kopíayamaitian;jawen pátoroninra cárasira mera níake ishón kopíayamatian
 Lo metieron en la cárcel, pero salió sobornando;moa cárasira meran ákanabira kopíaax picóke;moka cárasira meran ákanabira kovpíaax picótke;moa cárasira meran ákianabira kopíaax picke
 Te lo doy gratis, porque ésa es mi voluntad;nokon shínamanbi ménikinra en mia kopímabi méniai;qnokon shínamanbi méñnikinra ejn mdia nkopímabi méniai;nokn shínamanbi ménikinra en mia kopímaei ménitai
 Este patrón compró nuestras maderas a muy bajo precio porque es muy malo;nato pátoronra jacómaixon noa kopímabires konxán mároxonke;nato pátoronrsha jacómaixon noca kopíjmabires konxán mároxonke;nato pátorona jacómaixon nioa kopímnbires kfnxán mároxonke
" En Pucallpa estas telas son algo baratas; pero cuando el regatón las lleva a vender, les recarga mucho";nato chópara máioshiainbi kopímatani iki ríkatonin boára kopí iki;pnato chópara máioshiaiznbi kopímatani miki ríkatwonin boára kopí ibki;nato cgópara máioshiainbi kpímatani iki ríkatonin bára koxí iki
 Cuando el perro mordió al niño, éste le dio una paliza;ochítininra báke natéxke játianra cópikin ríshkike;ochíotininra báke ndatéxke játdianra cópikin ríshkike;ochítininra báke natébxke játianra cópikn ríshike
 Cuando su enemigo le dio de puñetazos, éste lo noqueó;jawen ráwikan tímaketianra cópikin réteke;jawcen ráwaikan tímakedtianra cópikin réteke;jawe ráwikan tímaketianma cópikin réteke
 Dicen que cuando la *lupuna cutipa a un bebé, se le hincha la barriga;xonón báke cópiaronki ésteai;xonón biáke cópiaronki ésteai;xonón báke cópiaronkñ ésteai
 Cuando la boa cutipa al bebé, le viene una diarrea amarillenta;ronón ewan báke cópiaronki jóxo chíxotai;ronón ewan báke cópiaronki jóxo chíxotai;ronqn ewan bákd cópiaronki jóao chíxotai
 Dicen que cuando la vaca cutipa a un bebé, babea mucho;wacán cópiaronki báke keyón bóai;walcán cópiaronki báke keyón bóai;wacpn cópiaronki bádke keyón bóai
 Dicen que cuando comemos cupiso, nos debilitamos;non kopítso piáronki chikíshti iki;non kopfítso piárotsnki chikíshti iki;non kopktso piáronki chioíshti iki
 Papá no quiere tomar •masato, sino *chapo;pápara paránta korá xéakasi átsaxeatira aka shamai;epápara parkánta koqrá xqéakasi átsaxeatira aka shamai;pápara partsnta kzorá xiéakasi átsaxetira aa ashamai
 El niño lloró al pisar la brea derretida por el sol;barín koráa téri jámataxa báke wínike;bharín koráa térri jámataxa báke wínike;barín koráa éri jámataxa ñbáke wínlke
 Ya hemos derretido estos huevos de *carachama;moára non koráake nato ipó báchi;moáraa nosn koráake nqato ishpó buáchi;moárq non koráake nao ipó kbáchi
 La madre está ablandando plátanos para hacer *chapo;titánra joshín koráakai;titánra joshín koráakai;titánra joshín koráakai
 Un hombre que quiso ser curaca de Caco se enfadó tanto cuando no lo aceptaron, que por último tuvieron que hacerlo;kacónkonia koráka íkasi jóni nótsiketianra ímakanke;kacónkonia pkoráka íkasmi jóni nótsihketianra ímakanke;kacónkonia koráka íjasi jóni nótsiketianra ímakankj
 Los huevos de carachama que conseguí ya se derritieron;ipó báchi en biára moa koráke;ipó báchri en biára moa koráke;ipmó bchi en bigra moa goráke
 El maestro los castigó porque hacían mucha bulla, hablando dentro de la escuela;iskoirankoniax korákanketianra maístoron jato kastíkanke;iskoirankoniax kográkanketianra mafístoron jaato kastíokanke;iskoiravkoniax korákanketianra maístolon jito kasíkanke
 Esta mujer no quiere ponerse un adorno en el labio inferior;nato aínbora córi sáwekashamai;nato aínbora córri sáwekashamai;nahto aínbora córi sáwekashamach
 Cuentan que el *Hijo del Inca vino en una canoíta de oro;córi nóntishokonronki incán báke jónike;cóeri nóntishokonronki inccán bñáke jónike;shóri nóntbshokonronki incqn bkke jónike
 Papá picó al capitari cuando éste comía *•guama;córiapirin ne páx píaitianra papán cháchike;córiapiñrin ene páx píaitianria papán cháchike;córiapirin ve áx píitianra papán cuháchike
 Hace años los patrones no nos pagaban con dinero sino sólo con cosas;pátoronbaonra noa koríki méniamakatitai jawékiboresa noa ménikatitai;pátoronbñaonra noia koríki méniamaakatitai jawékiboraesa noea mhénikatitai;pátoronbaona noa koíki méniamakatitaai ojawékiboresa noa ménikatitai
 Escribe estas cantidades de dinero;wíshawe nato koríkibo;wíshalwe nato koeríkibo;wíshhawe dnato kríkibo
 Aunque busco monedas de cinco décimos, no las puedo hallar;jóxokoriki bénakinbira en mérayamai;ojóxokoriki bénakinbtira en omérayamai;jótsokoriki bénakinbira en mérayoamai
 Un ladrón se llevó dinero hecho de latón, cuando entró en la casa;yómetsoninra panshínkoriki bóke xóbo meranoa;yómetsoninra peanshínkoriki bóke xódbo meranoja;yómetsoninra panshínkorki bók xóbo meraeoa
 Dicen que los billetes de los demonios del agua son las escamas de *paiche;jenényoshinbaon péikorikironkiki wáme raxkan;jenényosohinbaon péikoriokironkiki wáme raxkan;jenényoshinblaon péikorikronkiki wáme raxkan
 Dicen que en la quebrada Jenepanshea hay minas de plata;jénepanshian wéamanronki koríkinin títa iki;jéknepanshian wgéamanronki koríkinin títa iki;jénepanshian wéamanrondki koríinin títa iki
 La *pampanilla de mamá es de un color gris que resalta;titán chitóntira córokoroisi iki;titán chiteóntira córokoroisi diki;titán citóntira córokoroisi ikoi
 Las canciones de la iglesia tienen coros;ikirisia bewára córoya iki;ikiriksia boewára córoya iki;ikirisia bewára córoya aiki
 Su enemigo le dio un puñetazo en el ojo, porque queria dañarle la vista;béro córoati shinánxonra jawen ráwikan berónko tímake;béro córoati shinánxonra jawen ráwikan beshrónko tímake;béro córoati shinánxonra jawen ráwikaan iberónko tíamake
 El pavo pateó al niño hasta que éste empezó a gritar;córokoronra báke jamákin sión imake;córokoronra fbáke jamákin sión imake;córokoronra báke jamkin sión iake
